Record_ID,City,Province,Healthcare_Facility_Name,Facility_Type,Public_or_Private,Number_of_Beds,Number_of_Doctors,Number_of_Nurses,Daily_Patient_Capacity,Emergency_Service,Average_Rating,
1,Sialkot,Punjab,Sialkot Healthcare Facility 1,Clinic,Public,799,13,80,545,Yes,4.4,
2,Gujranwala,Punjab,Gujranwala Healthcare Facility 2,Maternity Home,Public,798,203,581,1603,Yes,4.2,
3,Multan,Punjab,Multan Healthcare Facility 3,Clinic,Private,793,280,116,795,Yes,3.9,
4,Sukkur,Sindh,Sukkur Healthcare Facility 4,Clinic,Private,792,259,358,528,Yes,3.6,
5,Quetta,Balochistan,Quetta Healthcare Facility 5,Clinic,Public,792,127,165,963,No,3.1,
6,Hyderabad,Sindh,Hyderabad Healthcare Facility 6,Medical Center,Public,792,26,94,1021,Yes,3,
7,Multan,Punjab,Multan Healthcare Facility 7,Diagnostic Lab,Private,790,189,247,1956,No,4.3,
8,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 8,Diagnostic Lab,Private,790,251,467,1658,Yes,4.5,
9,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 9,Clinic,Public,790,26,459,532,No,4.9,
10,Sukkur,Sindh,Sukkur Healthcare Facility 10,Hospital,Public,788,200,514,1280,Yes,3.1,
11,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 11,Clinic,Private,788,82,405,332,Yes,4.4,
12,Quetta,Balochistan,Quetta Healthcare Facility 12,Clinic,Public,788,9,24,1716,No,4.5,
13,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 13,Clinic,Public,787,5,167,1851,No,3.1,
14,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 14,Hospital,Public,786,198,486,1733,Yes,3.8,
15,Sialkot,Punjab,Sialkot Healthcare Facility 15,Hospital,Private,785,134,67,841,No,3.6,
16,Quetta,Balochistan,Quetta Healthcare Facility 16,Medical Center,Public,785,5,333,1956,No,4.2,
17,Multan,Punjab,Multan Healthcare Facility 17,Hospital,Public,785,181,14,177,Yes,3.5,
18,Sialkot,Punjab,Sialkot Healthcare Facility 18,Hospital,Public,785,138,441,1191,No,2.6,
19,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 19,Medical Center,Public,785,22,467,942,No,4.8,
20,Quetta,Balochistan,Quetta Healthcare Facility 20,Medical Center,Private,785,215,364,694,Yes,3.4,
21,Sialkot,Punjab,Sialkot Healthcare Facility 21,Hospital,Public,785,235,349,1719,Yes,4.3,
22,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 22,Clinic,Public,784,215,455,1674,Yes,3.6,
23,Faisalabad,Punjab,Faisalabad Healthcare Facility 23,Diagnostic Lab,Public,784,211,369,1677,Yes,2.8,
24,Multan,Punjab,Multan Healthcare Facility 24,Medical Center,Public,781,40,497,300,Yes,3.1,
25,Lahore,Punjab,Lahore Healthcare Facility 25,Maternity Home,Private,780,215,292,530,No,4.5,
26,Hyderabad,Sindh,Hyderabad Healthcare Facility 26,Diagnostic Lab,Public,780,205,265,383,Yes,3.3,
27,Hyderabad,Sindh,Hyderabad Healthcare Facility 27,Maternity Home,Public,780,100,317,1531,Yes,4,
28,Sialkot,Punjab,Sialkot Healthcare Facility 28,Hospital,Private,779,217,79,1341,Yes,4.4,
29,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 29,Maternity Home,Public,778,45,171,907,Yes,3.6,
30,Faisalabad,Punjab,Faisalabad Healthcare Facility 30,Hospital,Public,778,19,488,1692,Yes,2.9,
31,Sukkur,Sindh,Sukkur Healthcare Facility 31,Clinic,Public,776,264,369,980,No,3.4,
32,Karachi,Sindh,Karachi Healthcare Facility 32,Clinic,Private,775,278,86,1291,Yes,4.3,
33,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 33,Maternity Home,Public,774,168,243,1150,No,4.5,
